Артикул;Наименование;Количество;Единица измерения;Тип;Цена
C123150 с евровинтом/золото D;Петля стандартная накладная площадка с евровинтами/золото D-обр.;572;компл.;Петли;12,41
C123150 с евровинтом/золото кр;Петля стандартная накладная площадка с евровинтами/золото круг.;1003;компл.;Петли;12,41
C123150 с евровинтом/ник мат D;Петля стандартная накладная площадка с евровинтами/ник мат D-обр.;1723;компл.;Петли;15,46
C123150 с евровинтом/ник мат к;Петля стандартная накладная площадка с евровинтами/ник мат круг.;1908;компл.;Петли;12,41
C123150 с евровинтом/хр мат D;Петля стандартная накладная площадка с евровинтами/хр мат D-обр.;317;компл.;Петли;12,41
C123150 с евровинтом/хр мат кр;Петля стандартная накладная площадка с евровинтами/хр мат круг.;1871;компл.;Петли;12,41
C123150 с евровинтом/хром D;Петля стандартная накладная площадка с евровинтами/хром D-обр.;1654;компл.;Петли;12,41
C123150 с евровинтом/хром кру;Петля стандартная накладная площадка с евровинтами/хром круг.;1365;компл.;Петли;12,41
C123150 с евровинтом/черн D;Петля стандартная накладная площадка с евровинтами/черн D-обр.;2476;компл.;Петли;13,96
C123150 с евровинтом/черн круг;Петля стандартная накладная площадка с евровинтами/черн круг.;1663;компл.;Петли;13,96
C123152 под саморез/золото D;Петля стандартная вкладная площадка под саморез/золото D-обр.;1400;компл.;Петли;17,91
C123152 под саморез/золото кру;Петля стандартная вкладная площадка под саморез/золото круг.;2627;компл.;Петли;17,91
C123152 под саморез/ник мат D;Петля стандартная вкладная площадка под саморез/ник мат D-обр.;1408;компл.;Петли;20,96
C123152 под саморез/ник мат кр;Петля стандартная вкладная площадка под саморез/ник мат круг.;1096;компл.;Петли;17,91
C123152 под саморез/хр мат D;Петля стандартная вкладная площадка под саморез/хр мат D-обр.;2882;компл.;Петли;17,91
C123152 под саморез/хр мат кру;Петля стандартная вкладная площадка под саморез/хр мат круг.;725;компл.;Петли;17,91
C123152 под саморез/хром D;Петля стандартная вкладная площадка под саморез/хром D-обр.;2014;компл.;Петли;17,91
C123152 под саморез/хром кругл;Петля стандартная вкладная площадка под саморез/хром круг.;452;компл.;Петли;17,91
C123152 под саморез/черн D;Петля стандартная вкладная площадка под саморез/черн D-обр.;1098;компл.;Петли;19,46
C123152 под саморез/черн круг;Петля стандартная вкладная площадка под саморез/черн круг.;161;компл.;Петли;19,46
C123152 с евровинтом/золото D;Петля стандартная вкладная площадка с евровинтами/золото D-обр.;1609;компл.;Петли;17,91
C123152 с евровинтом/золото кр;Петля стандартная вкладная площадка с евровинтами/золото круг.;1137;компл.;Петли;17,91
C123152 с евровинтом/ник мат D;Петля стандартная вкладная площадка с евровинтами/ник мат D-обр.;2647;компл.;Петли;20,96
C123152 с евровинтом/ник мат к;Петля стандартная вкладная площадка с евровинтами/ник мат круг.;1692;компл.;Петли;17,91
C123152 с евровинтом/хр мат D;Петля стандартная вкладная площадка с евровинтами/хр мат D-обр.;1477;компл.;Петли;17,91
C123152 с евровинтом/хр мат кр;Петля стандартная вкладная площадка с евровинтами/хр мат круг.;1983;компл.;Петли;17,91
C123152 с евровинтом/хром D;Петля стандартная вкладная площадка с евровинтами/хром D-обр.;1901;компл.;Петли;17,91
C123152 с евровинтом/хром круг;Петля стандартная вкладная площадка с евровинтами/хром круг.;1489;компл.;Петли;17,91
C123152 с евровинтом/черн D;Петля стандартная вкладная площадка с евровинтами/черн D-обр.;1215;компл.;Петли;19,46
C123152 с евровинтом/черн круг;Петля стандартная вкладная площадка с евровинтами/черн круг.;134;компл.;Петли;19,46
C123153;Петля Mini 12 для стекла угловая (+30/95);941;шт.;Петли;8,5
C123153 под саморез/золото D;Петля угловая (+30) площадка под саморез/золото D-обр.;837;компл.;Петли;15,41
C123153 под саморез/золото кру;Петля угловая (+30) площадка под саморез/золото круг.;1985;компл.;Петли;15,41
C123153 под саморез/ник мат D;Петля угловая (+30) площадка под саморез/ник мат D-обр.;333;компл.;Петли;18,46
C123153 под саморез/ник мат кр;Петля угловая (+30) площадка под саморез/ник мат круг.;2862;компл.;Петли;15,41
C123153 под саморез/хром D;Петля угловая (+30) площадка под саморез/хром D-обр.;723;компл.;Петли;15,41
C123153 под саморез/хром круг;Петля угловая (+30) площадка под саморез/хром круг.;2003;компл.;Петли;15,41
C123153 под саморез/хром мат D;Петля угловая (+30) площадка под саморез/хром мат D-обр.;100;компл.;Петли;15,41
C123153 под саморез/хром мат к;Петля угловая (+30) площадка под саморез/хром мат круг.;2543;компл.;Петли;15,41
C123153 под саморез/черн D;Петля угловая (+30) площадка под саморез/черн D-обр.;680;компл.;Петли;16,96
C123153 под саморез/черн круг;Петля угловая (+30) площадка под саморез/черн круг.;2650;компл.;Петли;16,96
C123153 с евровинтом/золото D;Петля угловая (+30) площадка с евровинтами/золото D-обр.;417;компл.;Петли;15,41
C123153 с евровинтом/золото кр;Петля угловая (+30) площадка с евровинтами/золото круг.;1987;компл.;Петли;15,41
C123153 с евровинтом/ник мат D;Петля угловая (+30) площадка с евровинтами/ник мат D-обр.;2484;компл.;Петли;18,46
C123153 с евровинтом/ник мат к;Петля угловая (+30) площадка с евровинтами/ник мат круг.;582;компл.;Петли;15,41
C123153 с евровинтом/хр мат D;Петля угловая (+30) площадка с евровинтами/хр мат D-обр.;2294;компл.;Петли;15,41
C123153 с евровинтом/хр мат кр;Петля угловая (+30) площадка с евровинтами/хром мат круг.;545;компл.;Петли;15,41
C123153 с евровинтом/хром D;Петля угловая (+30) площадка с евровинтами/хром D-обр.;2060;компл.;Петли;15,41
C123153 с евровинтом/хром круг;Петля угловая (+30) площадка с евровинтами/хром круг.;2293;компл.;Петли;15,41
C123153 с евровинтом/черн D;Петля угловая (+30) площадка с евровинтами/черн D-обр.;2641;компл.;Петли;16,96
C123153 с евровинтом/черн круг;Петля угловая (+30) площадка с евровинтами/черн круг.;950;компл.;Петли;16,96
C123158;Петля Mini 12 для стекла прямая (180/110);1948;шт.;Петли;8,5
C123158 под саморез/золото D;Петля прямая (180) площадка под саморез/золото D-обр.-обр.;455;компл.;Петли;15,41
C123158 под саморез/золото кру;Петля прямая (180) площадка под саморез/золото круг.;1406;компл.;Петли;15,41
C123158 под саморез/ник мат D;Петля прямая (180) площадка под саморез/ник мат D-обр.-обр.;1505;компл.;Петли;18,46
C123158 под саморез/ник мат кр;Петля прямая (180) площадка под саморез/ник мат кр;1125;компл.;Петли;15,41
C123158 под саморез/хр мат D;Петля прямая (180) площадка под саморез/хром мат D-обр.;50;компл.;Петли;15,41
C123158 под саморез/хр мат кр;Петля прямая (180) площадка под саморез/хром мат круг.;778;компл.;Петли;15,41
C123158 под саморез/хром D;Петля прямая (180) площадка под саморез/хром D-обр.;1557;компл.;Петли;15,41
C123158 под саморез/хром круг;Петля прямая (180) площадка под саморез/хром круг.;2633;компл.;Петли;15,41
C123158 под саморез/черн D;Петля прямая (180) площадка под саморез/черн D-обр.;345;компл.;Петли;16,96
C123158 под саморез/черн круг;Петля прямая (180) площадка под саморез/черн круг.;2354;компл.;Петли;15,41
C123158 с евровинтом/золото D;Петля прямая (180) площадка с евровинтами/золото D-обр.;2195;компл.;Петли;15,41
C123158 с евровинтом/золото кр;Петля прямая (180) площадка с евровинтами/золото круг.;2192;компл.;Петли;15,41
C123158 с евровинтом/ник мат D;Петля прямая (180) площадка с евровинтами/ник мат D-обр.;154;компл.;Петли;18,46
C123158 с евровинтом/ник мат к;Петля прямая (180) площадка с евровинтами/ник мат кр;2086;компл.;Петли;15,41
C123158 с евровинтом/хр мат D;Петля прямая (180) площадка с евровинтами/хром мат D-обр.;534;компл.;Петли;15,41
C123158 с евровинтом/хр мат кр;Петля прямая (180) площадка с евровинтами/хром мат круг.;1055;компл.;Петли;15,41
C123158 с евровинтом/хром D;Петля прямая (180) площадка с евровинтами/хром D-обр.;448;компл.;Петли;15,41
C123158 с евровинтом/хром круг;Петля прямая (180) площадка с евровинтами/хром круг.;2417;компл.;Петли;15,41
C123158 с евровинтом/черн D;Петля прямая (180) площадка с евровинтами/черн D-обр.;1799;компл.;Петли;16,96
C123158 с евровинтом/черн круг;Петля прямая (180) площадка с евровинтами/черн круг.;2259;компл.;Петли;16,96
C91505BW;Петля Anyway Clip 91 DIGIT стандартная (90/110) срединная;183;шт.;Петли;5,5
C95028L H;Петля Slide-on 95 угловая (-30/125) накладная, бронза;2369;шт.;Петли;5
C95028M H;Петля Slide-on 95 угловая (-45/125) накладная, бронза;1892;шт.;Петли;5
C95304C;Петля Slide-on 95 специальная (90/170), вкладная;621;шт.;Петли;21,5
C95350A;Петля Slide-on 95 стандартная (90/95) для ал. проф., накладная;1101;шт.;Петли;4,5
C95350B;Петля Slide-on 95 стандартная (90/95) для ал. проф., срединная;2907;шт.;Петли;4,5
E20086D;Петля Harmony со встроенным доводчиком угловая (+30/95);2491;шт.;Петли;14,64
E21087C;Петля Harmony со встроенным доводчиком стандартная (90/110) вкладная;1010;шт.;Петли;26,23
F078073812;Петля мини E90 вкладная;2145;шт.;Петли;30
G2264;Заглушка декоративная Mini 12 круглая, хром;97;шт.;Петли;3,05
G2265;Заглушка декоративная Mini 12 круглая, хром матовый;1262;шт.;Петли;3,05
G226L;Заглушка декоративная Mini 12 круглая, золото;2108;шт.;Петли;3,05
G226V;Заглушка декоративная Mini 12 круглая, никель матовый;382;шт.;Петли;3,05
G2274;Заглушка декоративная Mini 12 D-образн., хром;204;шт.;Петли;3,05
G2275;Заглушка декоративная Mini 12 D-образн., хром матовый;1089;шт.;Петли;3,05
G227L;Заглушка декоративная Mini 12 D-образн., золото;1889;шт.;Петли;3,05
GA26L;Кольцо крепежное Mini 12 круглое;1433;шт.;Петли;1,68
GA27L;Кольцо крепежное Mini 12 D-образн.;720;шт.;Петли;1,68
H90086DW;Петля Anyway Clip 90 угловая (+30/95) вкладная;522;шт.;Петли;4,5
H90086NW;Петля Anyway Clip 90 угловая (+30/95) накладная;729;шт.;Петли;4,5
H95086D H;Петля Slide-on 95 угловая (+30/95) вкладная, бронза;848;шт.;Петли;5
H95086E H;Петля Slide-on 95 угловая (+45/95) вкладная, бронза;1228;шт.;Петли;5
H95086N H;Петля Slide-on 95 угловая (+30/95) накладная, бронза;2553;шт.;Петли;5
H95086P H;Петля Slide-on 95 угловая (+45/95) накладная, бронза;1730;шт.;Петли;5
H95087A H;Петля Slide-on 95 стандартная (90/110) накладная, бронза;2230;шт.;Петли;11
H95087B H;Петля Slide-on 95 стандартная (90/110) срединная, бронза;2947;шт.;Петли;4,5
V220/G;Винт для кольца Mini 12;2796;шт.;Петли;0,25
W90086DW;Петля Anyway Clip 90 угловая (+30/95) вкладная, для амортизатора WAVE;1397;шт.;Петли;4,5
W95086D;Петля Slide-on 95 угловая (+30/95) вкладная, для амортизатора WAVE;2961;шт.;Петли;7
W95086N;Петля Slide-on 95 угловая (+30/95) накладная, для амортизатора WAVE;2274;шт.;Петли;7
W95087A;Петля Slide-on 95 стандартная (90/110) накладная, для амортизатора WAVE;1241;шт.;Петли;4,5
W95087B;Петля Slide-on 95 стандартная (90/110) срединная, для амортизатора WAVE;630;шт.;Петли;4,5
2021 BLACK;Компл. петель для двери из ДСП, черный;905;компл.;Петли;58,81
2023 BRASS;Компл. петель для стекл. двери, золото;214;компл.;Петли;5
3005 CR;Компл. петель для стекл. двери, хром;1592;компл.;Петли;321,59
3005 GD;Компл. петель для стекл. двери, золото;2260;компл.;Петли;115
3005 MN;Компл. петель для стекл. двери, никель матовый;1730;компл.;Петли;321,59
4 01070 20 HD;Петля под саморез для откидной створки, латунь;560;шт.;Петли;201,3
4 01070 20 HD.CH;Петля под саморез для откидной створки, хром;1444;шт.;Петли;64,25
A04;Петля четырехшарнирная без фрезер.;291;шт.;Петли;98,25
C01 00008 01;KIMANA Адаптер высотой 3 мм;2080;шт.;Петли;42,48
C01 00008 02;KIMANA Адаптер высотой 1,5 мм;2041;шт.;Петли;169632
C01 00008 81;KIMANA Петля для откидных элементов;385;компл.;Петли;306,04
CE01;Петля карточная;687;шт.;Петли;34,55
CF0000AH;Линейная установочная площадка CF /саморез;2701;шт.;Петли;24,74
CF0000BH;Крестовая установочная площадка CF /саморез;131;шт.;Петли;24,67
CF01024 CL;Петля CF для стекл. двери вкладная, под сверление, хром;1699;шт.;Петли;310,99
CF01024 NP;Петля CF для стекл. двери вкладная, под сверление, нержавеющая сталь;231;шт.;Петли;310,99
CF01025 CL;Петля CF для стекл. двери накладная, под сверление, хром;2444;шт.;Петли;310,99
CF01025 NP;Петля CF для стекл. двери накладная, под сверление, нержавеющая сталь;1320;шт.;Петли;310,99
CI-K000;Петля потайная бронза D10, ДСП 16 мм;977;шт.;Петли;75,13
CI-K001;Петля потайная бронза D12, ДСП 18 мм;1063;шт.;Петли;86,02
CI-K002;Петля потайная бронза D14, ДСП 20 мм;2244;шт.;Петли;96,9
CI-K003;Петля потайная бронза D16, ДСП 22 мм;2742;шт.;Петли;118,67
CI-K004;Петля потайная бронза D18, ДСП 25 мм;2644;шт.;Петли;141,57
D/10 CR;Ручка для стекл. двери с петлями D/11, хром;2793;шт.;Петли;43,4
D/11 CR.CH;Компл. петель для стекл. двери, хром;1855;компл.;Петли;219,74
D/12 BR;Ручка для стекл. двери с петлями D/13, золото;1968;шт.;Петли;15
D/12 CR;Ручка для стекл. двери с петлями D/13, хром;1837;шт.;Петли;109,55
D/13 BR;Компл. петель для стекл. двери, золото;2572;компл.;Петли;52,5
D/13 CR.CH;Компл. петель для стекл. двери, хром;815;компл.;Петли;302,37
D/15 CR.CH;Компл. петель для стекл. двери, хром;621;компл.;Петли;302,37
F150000006;MB Чашка для петель одношарнирных;1382;шт.;Петли;102,27
F150000007;MB-6110 Петля одношарнирная 16/3 мм, вкладная (плечо);1410;компл.;Петли;18723132
F150000008;MB-6210 Петля одношарнирная 16/3 мм, накладная (плечо);2707;компл.;Петли;187,23
F150000013;MB-8210 Петля одношарнирная 16/4 мм, накладная (плечо);2249;компл.;Петли;187,23
RD-14E;Петля для откидных элементов;1193;шт.;Петли;86,02
RD-14E BR;Петля для откидных элементов, бронза;2068;шт.;Петли;86,02
ZS1002-Л;Петля карточная бронза (левая);830;шт.;Петли;72,8
ZS1002-П;Петля карточная бронза (правая);1433;шт.;Петли;72,8
ZS9004 (Б/РУЧ)/50 КТ;Компл. петель для стекл. двери, хром;1060;упак.;Петли;3180,32
ZS9004 / 50 К-Т;Компл. петель для стекл. двери +ручка, хром;1882;упак.;Петли;5464,77
ZS9005;Компл. петель для стекл. двери + ручка, бронза;1160;компл.;Петли;33
ZS9005 (Б/РУЧ);Компл. петель для стекл. двери, бронза;452;компл.;Петли;30
ZS9008;Компл. петель для стекл. двери + ручка, хром матовый;2489;компл.;Петли;115,07
ZS9008 (Б/РУЧ);Компл. петель для стекл. двери, хром матовый;245;компл.;Петли;72,66
ZS9030 (Б/РУЧ);Компл. петель для стекл. двери, черный;118;компл.;Петли;34
