Артикул;Наименование;Количество;Единица измерения;Тип;Цена
13.071-HM;Заглушка самоклеящаяся бук, D13 мм (63 шт.);1058;упак.;Заглушка;27,64
13.074-HM;Заглушка самоклеящаяся вишня оксфорд, D13 мм (63 шт.);2603;упак.;Заглушка;27,64
13.076-HM;Заглушка самоклеящаяся орех, D13 мм (63 шт.);2762;упак.;Заглушка;27,64
13.079-HM;Заглушка самоклеящаяся венге, D13 мм (63 шт.);203;упак.;Заглушка;27,64
13.080-HD;Заглушка самоклеящаяся светло-серая, D13 мм (63 шт.);609;упак.;Заглушка;27,64
13.092-HM;Заглушка самоклеящаяся клен, D13 мм (63 шт.);2331;упак.;Заглушка;27,64
13.103-HM;Заглушка самоклеящаяся темная вишня, D13 мм (63 шт.);2068;упак.;Заглушка;27,64
13.115-HM;Заглушка самоклеящаяся дуб, D13 мм (63 шт.);197;упак.;Заглушка;27,64
13.131-HD;Заглушка самоклеящаяся красная, D13 мм (63 шт.);468;упак.;Заглушка;27,64
13.135-HM;Заглушка самоклеящаяся дуб молочный, D13 мм (63 шт.);1154;упак.;Заглушка;27,64
13.158-HM;Заглушка самоклеящаяся дуб ривьера, D13 мм (63 шт.);2194;упак.;Заглушка;27,64
13.576-HD;Заглушка самоклеящаяся жёлтая, D13 мм (63 шт.);692;упак.;Заглушка;27,64
13.621-HD;Заглушка самоклеящаяся синяя, D13 мм (63 шт.);2773;упак.;Заглушка;27,64
2 30110 10 AB;SPIRAL LOCK Заглушка для стяжки, белая;2652;шт.;Заглушка;3,75
2 30110 10 MK;SPIRAL LOCK Заглушка для стяжки, коричневая;2803;шт.;Заглушка;3,75
2 30110 10 ЕА;SPIRAL LOCK Заглушка для стяжки, черная;2943;шт.;Заглушка;3,75
20.005-HM;Заглушка самоклеящаяся клен фьорд, D20 мм (18 шт.);749;упак.;Заглушка;14,35
20.006-HM;Заглушка самоклеящаяся дуб беленый, D20 мм (18 шт.);810;упак.;Заглушка;14,35
20.010-HD;Заглушка самоклеящаяся черная, D20 мм (18 шт.);50;упак.;Заглушка;14,35
20.020-HD;Заглушка самоклеящаяся белая, D20 мм (18 шт.);544;упак.;Заглушка;14,35
20.022-HM;Заглушка самоклеящаяся серый металлик, D20 мм (18 шт.);2352;упак.;Заглушка;14,35
20.025-HD;Заглушка самоклеящаяся зелёная, D20 мм (18 шт.);2061;упак.;Заглушка;14,35
20.030-HD;Заглушка самоклеящаяся бежевый однотонный, D20 мм (18 шт.);2346;упак.;Заглушка;14,35
20.032-HM;Заглушка самоклеящаяся яблоня локарно, D20 мм (18 шт.);2275;упак.;Заглушка;14,35
20.048-HM;Заглушка самоклеящаяся махагон, D20 мм (18 шт.);629;упак.;Заглушка;14,35
20.050-HM;Заглушка самоклеящаяся светлая вишня, D20 мм (18 шт.);994;упак.;Заглушка;14,35
20.071-HM;Заглушка самоклеящаяся бук, D20 мм (18 шт.);2344;упак.;Заглушка;14,35
20.074-HM;Заглушка самоклеящаяся вишня оксфорд, D20 мм (18 шт.);2460;упак.;Заглушка;14,35
20.076-HM;Заглушка самоклеящаяся орех, D20 мм (18 шт.);2229;упак.;Заглушка;14,35
20.079-HM;Заглушка самоклеящаяся венге, D20 мм (18 шт.);2689;упак.;Заглушка;14,35
20.080-HD;Заглушка самоклеящаяся светло-серая, D20 мм (18 шт.);1830;упак.;Заглушка;14,35
20.092-HM;Заглушка самоклеящаяся клен, D20 мм (18 шт.);411;упак.;Заглушка;14,35
20.103-HM;Заглушка самоклеящаяся темная вишня, D20 мм (18 шт.);1698;упак.;Заглушка;14,35
20.115-HM;Заглушка самоклеящаяся дуб, D20 мм (18 шт.);1871;упак.;Заглушка;14,35
20.131-HD;Заглушка самоклеящаяся красная, D20 мм (18 шт.);2667;упак.;Заглушка;14,35
20.135-HM;Заглушка самоклеящаяся дуб молочный, D20 мм (18 шт.);2088;упак.;Заглушка;14,35
20.576-HD;Заглушка самоклеящаяся жёлтая, D20 мм (18 шт.);1351;упак.;Заглушка;14,35
20.621-HD;Заглушка самоклеящаяся синяя, D20 мм (18 шт.);2146;упак.;Заглушка;14,35
35.010-HD;Заглушка самоклеящаяся черная, D35 мм (15 шт.);2070;упак.;Заглушка;36,82
35.020-HD;Заглушка самоклеящаяся белая, D35 мм (15 шт.);1770;упак.;Заглушка;36,82
35.060-HD;Заглушка самоклеящаяся коричневая, D35 мм (15 шт.);2715;упак.;Заглушка;36,82
40.010-HD;Заглушка самоклеящаяся черная, D40 мм (15 шт.);1602;упак.;Заглушка;40,43
40.020-HD;Заглушка самоклеящаяся белая, D40 мм (15 шт.);768;упак.;Заглушка;40,43
40.030-HD;Заглушка самоклеящаяся бежевый однотонный, D40 мм (15 шт.);864;упак.;Заглушка;40,43
40.060-HD;Заглушка самоклеящаяся коричневая, D40 мм (15 шт.);605;упак.;Заглушка;40,43
40.080-HD;Заглушка самоклеящаяся светло-серая, D40 мм (15 шт.);1214;упак.;Заглушка;40,43
CF01PAC;Заглушка для технологических отверстий, клен, D5 мм;1418;шт.;Заглушка;0,42
CF01PB;Заглушка для технологических отверстий, белая, D5 мм;736;шт.;Заглушка;0,35
CF01PCI;Заглушка для технологических отверстий, вишня, D5 мм;1635;шт.;Заглушка;0,35
CF01PFA;Заглушка для технологических отверстий, бежевая, D5 мм;2492;шт.;Заглушка;0,35
CF01PFR;Заглушка для технологических отверстий, ясень, D5 мм;1450;шт.;Заглушка;0,42
CF01PGA;Заглушка для технологических отверстий, серый металлик, D5 мм;2402;шт.;Заглушка;0,35
CF01PMA;Заглушка для технологических отверстий, коричневая, D5 мм;1603;шт.;Заглушка;0,35
CF01PNE;Заглушка для технологических отверстий, черная, D5 мм;1186;шт.;Заглушка;0,35
CF02PAC;Заглушка клен 8мм;2683;шт.;Заглушка;0,1
CF02PB;Заглушка для технологических отверстий, белая, D8 мм;951;шт.;Заглушка;0,35
CF02PCI;Заглушка для технологических отверстий, вишня, D8 мм;2820;шт.;Заглушка;0,25
CF02PFA;Заглушка для технологических отверстий, бежевая, D8 мм;2847;шт.;Заглушка;0,35
CF02PGA;Заглушка для технологических отверстий, серый металлик, D8 мм;2134;шт.;Заглушка;0,42
CF02PMA;Заглушка для технологических отверстий, коричневая, D8 мм;1835;шт.;Заглушка;0,35
CF02PNE;Заглушка для технологических отверстий, черная, D8 мм;1682;шт.;Заглушка;0,35
CF03PAC;Заглушка для технологических отверстий, клен, D10 мм;2064;шт.;Заглушка;0,42
CF03PB;Заглушка для технологических отверстий, белая, D10 мм;1213;шт.;Заглушка;0,42
CF03PCI;Заглушка для технологических отверстий, вишня, D10 мм;1596;шт.;Заглушка;0,42
CF03PFA;Заглушка для технологических отверстий, бежевая, D10 мм;1699;шт.;Заглушка;0,42
CF03PFR;Заглушка для технологических отверстий, ясень, D10 мм;1827;шт.;Заглушка;0,42
CF03PGA;Заглушка для технологических отверстий, серый металлик, D10 мм;127;шт.;Заглушка;0,42
CF03PMA;Заглушка для технологических отверстий, коричневая, D10 мм;189;шт.;Заглушка;0,42
CF03PNE;Заглушка для технологических отверстий, черная, D10 мм;1903;шт.;Заглушка;0,42
SPAX/ БЕЛ / 500 ШТ;Заглушка для самореза с потайной головкой, белая;2654;упак.;Заглушка;250,28
AL02;Полкодержатель для деревянных полок с фиксацией, с двумя отверстиями под саморез, никель;625;шт.;Уголки мебельные;6,36
AL02 ZBR;Полкодержатель для деревянных полок с фиксацией, с двумя отверстиями под саморез, бронза;287;шт.;Уголки мебельные;6,36
